,bathrooms,sqft_living,sqft_lot,grade,condition,waterfront,view,age,UTM_X,UTM_Y,y
56,2.5,2720,10455,10,3,0,2,34,563345.7637,5267341.331,5.989004616
57,2.5,3140,8060,9,3,0,0,24,549659.924,5239723.484,5.591008925
58,2.75,2460,7830,9,5,0,0,60,551774.617,5282498.844,5.921686475
59,3.25,1470,1152,8,3,0,0,12,549788.7873,5277791.096,5.788875116
60,2.25,2530,10611,8,5,0,0,38,565285.1439,5268852.098,5.770852012
61,1.75,2120,8520,7,3,0,0,37,547398.7014,5238915.772,5.444200989
62,1,840,3522,6,3,0,0,68,545428.105,5278411.192,5.607562243
63,3.75,3010,4360,9,3,0,0,1,550055.0233,5281761.325,6.051152522
64,2.25,2610,3357,7,4,0,0,89,552130.2896,5276299.992,6.020775488
65,1.75,1470,5350,7,3,0,0,60,551388.6295,5283718.047,5.667452953
66,1,1010,5400,6,3,0,0,56,553171.0041,5269262.701,5.501059262
67,1,1210,7440,7,3,0,0,66,550754.0752,5287647.116,5.511816541
68,2.5,2540,11100,7,5,0,0,58,565809.169,5275738.233,5.799340549
69,2,2580,15653,9,3,0,0,25,548165.3004,5256048.763,5.682145076
70,1.5,1370,9750,7,3,0,0,62,551014.3876,5257817.815,5.471291711
71,1,940,1948,6,5,0,0,115,546315.1761,5280174.286,5.741151599
72,1,1190,4440,6,3,0,0,34,553480.2754,5284703.916,5.582631439
73,2.5,1256,1154,7,3,0,0,10,551679.0184,5284809.875,5.500716624
74,3,3230,8625,10,3,0,3,17,544833.8619,5267792.305,6.100370545
75,2.25,2270,9600,7,3,0,0,39,548737.2613,5241605.153,5.484298415
76,2.5,2390,15669,9,3,0,0,24,560494.9033,5288229.547,5.819543936
77,2,2030,9600,6,3,0,0,68,554884.3523,5254974.156,5.404455682
78,1,1320,11457,8,3,0,0,56,555366.4771,5291423.939,5.531415046
79,1,930,6380,7,4,0,0,75,550951.4686,5282235.931,5.596597096
80,3.5,2850,4416,7,3,0,0,89,549383.2076,5281333.221,5.942008053
81,2.5,2156,3562,9,3,0,0,3,560336.0871,5245380.329,5.540954809
82,2.5,1920,9000,7,2,0,0,26,547433.592,5262622.436,5.62838893
83,1,1020,11652,6,4,0,0,44,554432.0107,5254969.939,5.335457901
84,2.25,1750,1879,8,3,0,0,14,545715.618,5280047.283,5.720159303
85,2.25,1940,9144,7,4,0,0,59,565029.2801,5271561.312,5.694605199
86,2.5,3830,11972,11,3,1,4,34,553677.6503,5287695.65,6.267171728
87,3.25,2470,4760,9,5,0,0,109,551834.6741,5275752.734,6.122215878
88,2,1320,8959,7,3,0,0,22,564647.1063,5244814.834,5.423245874
89,1.5,1170,11530,7,3,0,0,55,553552.4825,5252205.485,5.391816924
90,2.5,2250,11632,8,3,0,0,27,562552.9383,5264087.246,5.730782276
91,1,1060,6100,6,3,0,0,64,552786.8219,5286720.482,5.357934847
92,1.75,1400,10350,7,4,0,0,39,565397.9076,5258760.996,5.484299839
93,1,1750,12528,7,4,0,0,48,567693.3442,5288131.214,5.635483747
94,1.5,2060,10880,6,3,0,0,91,548036.195,5262594.01,5.541753925
95,2.25,2080,2856,7,3,0,0,12,563510.2273,5252160.309,5.427323786
96,1.75,1820,8740,8,4,0,0,28,546486.8175,5239508.657,5.392696953
97,2.5,1720,7950,7,4,0,0,43,562400.9671,5285270.849,5.720159303
98,1.75,1490,10844,7,3,0,0,41,567175.3674,5274542.269,5.648360011
99,1,1740,4400,7,3,0,0,91,552613.1805,5272736.521,5.739176632
100,2.75,2620,8861,8,5,0,0,36,561504.4815,5263564.843,5.715167358
101,1.75,2300,13342,7,3,1,4,81,553837.4824,5286630.096,6.125481266
102,1,1180,4219,7,3,0,0,76,546678.5457,5281666.55,5.638489257
103,1,1140,6700,7,3,0,0,95,548246.1095,5282690.782,5.73239376
104,1.5,1760,6723,7,3,0,0,57,555225.949,5266703.182,5.672097858
105,1,940,8400,7,3,0,0,57,562873.6245,5262267.854,5.359835482
106,1,1430,8157,7,3,0,0,71,547918.6537,5286000.258,5.544068044
107,1.75,1860,9629,7,4,0,0,54,564554.0655,5260118.758,5.498310554
108,2,1440,3720,7,3,0,0,32,550652.5728,5282088.828,5.67669361
109,1.75,1540,8100,7,4,0,0,68,548646.7492,5288607.172,5.633468456
110,1.5,1830,9848,7,5,0,0,53,561711.0802,5265389.848,5.670245853
111,1,800,5080,7,3,0,0,77,551470.5389,5282940.736,5.606918526
112,1.5,1320,7980,7,3,0,0,59,555799.9114,5261751.525,5.40654018
113,2.5,2720,8120,7,3,0,0,45,552060.3479,5267296.528,5.632457292
114,1,1090,7315,6,5,0,0,34,562893.6878,5260400.783,5.460897843
115,1,930,7740,6,3,0,0,91,553109.7106,5284211.462,5.462397998
116,2.25,2020,8424,7,4,0,0,36,557516.6727,5286154.089,5.667359546
117,2.75,2900,6400,7,3,0,0,104,545666.2827,5267165.237,5.653212514
118,2,2750,9001,8,3,0,0,7,561128.8738,5256269.656,5.522444234
119,1,1210,6250,7,3,0,0,53,550233.1973,5261034.223,5.243038049
120,1.75,2190,3800,8,4,0,2,92,548445.0127,5276823.902,5.994756945
121,1,940,9839,6,3,0,0,105,546209.0797,5265124.467,5.574031268
122,1.75,2180,10200,8,3,0,2,49,554702.6787,5290306.133,5.643452676
123,1,1340,7260,7,3,0,0,62,552892.2575,5283375.864,5.754348336
124,1,1140,9639,7,4,0,0,48,555553.3978,5240009.503,5.361727836
125,2.5,2790,7956,9,3,0,0,10,552096.1795,5246301.843,5.574031268
126,1,940,7200,7,4,0,0,61,558742.5954,5238562.245,5.213517757
127,2.5,1980,2975,8,3,0,2,22,549283.9907,5275319.356,5.866877814
128,2.25,2400,13430,9,4,0,0,51,561791.3325,5272026.285,5.93277807
129,1,1630,6009,8,4,0,3,61,546297.7415,5282363.726,5.740362689
130,1.75,1730,8400,7,4,0,0,35,566425.0133,5281024.962,5.717670503
131,4,2680,6000,7,3,0,0,53,545955.297,5278215.268,5.890421019
132,1,890,5200,7,3,0,0,58,554390.4506,5267540.054,5.498310554
133,1,1210,17389,5,4,0,0,67,564161.4777,5261570.485,5.413299764
134,1.5,2260,5300,7,3,0,0,75,548940.2943,5280451.417,5.643452676
135,1,1440,9600,7,2,0,0,51,555623.1036,5240632.555,5.431283332
136,2.75,2660,7754,8,3,0,0,29,550114.6665,5239582.852,5.447932866
137,2.25,3230,17833,9,4,0,0,42,561074.9688,5268639.812,6.324282455
138,1.5,1220,3286,7,3,0,0,33,560827.1166,5285143.001,5.469822016
139,2.25,1520,1245,8,3,0,0,11,549526.4913,5282134.699,5.607455023
140,1.5,1070,8886,7,4,0,0,31,562988.0047,5244574.545,5.380211242
141,1.75,1300,7770,7,3,0,0,48,560581.35,5287130.046,5.556302501
142,2,1530,4080,7,4,0,0,103,550677.4533,5279232.559,5.822168079
143,1.5,2020,7560,7,4,0,0,55,564315.022,5261305.415,5.57863921
144,2.5,2440,9727,9,3,0,0,28,565171.3438,5279021.154,5.874771637
145,3.75,3730,17000,10,4,0,3,29,557048.9417,5264953.467,6.194333927
146,2.25,2440,9450,7,3,0,0,68,551987.4933,5283867.867,5.84509804
147,1.75,980,6002,6,4,0,0,73,559837.1124,5279297.311,5.817895757
148,2.5,2730,10753,9,3,0,0,24,565245.178,5265694.993,5.878521796
149,3.5,3220,5081,8,3,0,0,2,566692.5874,5283873.547,5.978165903
150,2.25,1670,7881,7,4,0,0,38,561861.7163,5251109.045,5.401400541
151,1,1500,3399,7,5,0,0,89,548632.427,5281360.238,5.618048097
152,3.5,3273,5115,8,3,0,0,1,560008.8387,5255224.424,5.685741739
153,2.5,1180,932,8,3,0,0,5,546947.3266,5276255.908,5.658011397
154,1,1300,8184,6,3,0,0,68,551047.3993,5288394.385,5.401400541
155,1.75,2430,5481,8,3,0,0,62,552812.7623,5267292.168,5.604226053
156,2,1700,10000,8,3,0,0,23,559570.8104,5290609.75,5.657055853
157,2.5,1770,5146,7,3,0,0,23,548477.5335,5263853.573,5.574031268
158,2.5,1710,7230,7,3,0,0,19,553092.5947,5236274.721,5.439332694
159,2.75,2750,18029,9,5,0,2,37,565144.7612,5267950.214,5.977723605
160,3,2300,8214,8,3,0,0,2,554728.1833,5239334.932,5.495393071
161,1,1270,1399,7,3,0,0,15,546570.0474,5267050.114,5.568201724
162,1,1460,5000,7,4,0,0,81,551034.1157,5281369.705,5.596597096
163,1,1160,4360,8,4,0,0,86,553222.6616,5280066.662,5.699837726
164,2.5,2480,6180,9,3,0,0,16,559756.2754,5250409.252,5.62324929
165,1,1340,8100,7,4,0,0,62,547247.1818,5285572.396,5.641870545
166,3,1780,4228,7,3,0,0,62,553648.5756,5266399.505,5.544068044
167,2.5,1690,4500,8,4,0,1,87,546394.0493,5270260.773,5.85672889
168,2.5,2340,19850,9,3,0,0,22,552001.6362,5290659.19,5.731588765
169,1.25,2400,6653,11,3,0,2,23,553368.8624,5272298.802,6.142389466
170,3.25,1560,1345,8,3,0,0,6,547013.8469,5267998.393,5.651278014
171,0.75,1270,10092,7,5,0,0,44,569474.2517,5289675.094,5.499687083
172,1.75,1580,9719,7,5,0,0,53,561710.3761,5265456.53,5.713574538
173,1,1150,6000,7,4,0,1,94,559063.989,5281490.182,5.919078092
174,1,1700,7700,7,3,0,0,55,551352.535,5262222.065,5.397940009
175,2.5,1440,7320,7,5,0,0,61,551300.7515,5285173.311,5.633468456
176,2.5,1330,816,8,3,0,0,11,546005.8609,5281316.635,5.574031268
177,2.5,2130,5001,8,5,0,0,43,545127.9272,5278386.628,5.849419414
178,3.25,3230,5000,9,3,0,1,13,545697.6403,5263153.216,5.911157609
179,1.75,1250,7710,7,4,0,0,68,551182.2132,5290107.267,5.5289167
180,1.75,2250,8580,7,4,0,0,57,560023.62,5290303.194,5.670245853
181,1.5,2430,3600,8,3,0,0,35,553710.6838,5275992.024,5.973127854
182,2.75,4120,16365,12,3,0,2,16,564134.5418,5264026.577,6.113943352
183,1,1170,3348,7,4,0,0,91,546678.2781,5281699.891,5.6599162
184,4,4510,15175,10,3,0,0,46,558107.6921,5264452.621,6.271841607
185,2.5,1730,7200,7,4,0,0,30,560663.3908,5250251.836,5.397940009
186,3.5,4010,15365,11,3,0,1,9,568240.5155,5266996.324,6.141449773
187,2.5,3200,12369,10,3,0,0,17,564509.9349,5264119.626,5.860413477
188,2.25,3490,6906,10,4,0,0,87,544539.8915,5276726.038,6.088136089
189,1.5,1500,3075,7,5,0,0,86,548777.3983,5281972.76,5.81391442
190,2.5,2979,17313,11,3,0,2,22,566362.7445,5266696.814,5.959994838
191,1.5,1560,7884,7,3,0,0,46,552637.3639,5286663.55,5.565847819
192,3.5,3070,4684,10,3,0,0,6,569547.5803,5264655.329,5.894869657
193,1,1570,10050,7,3,0,0,52,557655.8319,5287244.746,5.565257343
194,1,960,4560,7,4,0,0,47,547774.974,5266915.358,5.462397998
195,2.25,2100,3000,7,3,0,0,19,552173.0485,5271521.073,5.694605199
196,1.75,2150,9000,7,4,0,0,49,566572.5807,5281248.955,5.740362689
197,3,2580,8064,7,3,0,0,102,553642.3502,5267077.437,5.5132176
198,1.75,1580,7344,7,5,0,0,104,546671.5445,5263761.079,5.414973348
199,2.5,2070,11286,8,3,0,0,19,562250.423,5264217.395,5.802773725
200,2.5,2150,9375,8,3,0,0,47,554721.2257,5256295.246,5.45331834
201,2.25,1610,6655,7,4,0,0,30,563272.2003,5253246.975,5.553883027
202,2,1760,4046,7,3,0,0,84,546452.6097,5281764.772,5.743509765
203,2.75,1440,7350,7,4,0,0,35,564990.0816,5254766.244,5.519158323
204,2.5,2110,4038,8,4,0,0,26,563926.4302,5248574.799,5.550228353
205,2.5,3290,8147,10,3,0,0,12,566992.6643,5283876.999,5.932727367
206,1.75,2190,12626,8,4,0,0,37,563854.5798,5248240.58,5.531478917
207,2.5,2320,4524,8,3,0,0,11,565095.5485,5258846.546,5.633417953
208,2.5,2590,7891,9,3,0,0,9,560696.1125,5261655.776,5.72427587
209,1.75,2520,10890,7,3,0,0,36,549647.4645,5241201.539,5.434568904
210,2,1550,6394,8,5,0,0,97,546749.8417,5263383.818,5.698970004
211,2.5,1900,3366,9,3,0,0,19,561259.3718,5279712.253,5.736396502
212,2,1670,12056,7,3,0,0,60,556674.8662,5287879.757,5.602059991
213,3,3110,5000,7,5,0,0,94,548951.9818,5279062.182,5.860338007
214,1.75,1600,5795,8,3,0,0,75,554349.599,5279977.048,5.827578615
215,2.25,2940,5735,9,3,0,0,58,552280.4205,5276312.452,6.204119983
216,2.5,2050,4876,8,3,0,0,10,563082.3029,5291591.695,5.654176542
217,2.5,2700,9320,8,4,0,0,21,560187.4245,5281724.003,5.922984816
218,3.5,2720,6781,8,3,0,0,16,559164.4302,5256716.309,5.562292864
219,2.5,2620,7553,8,3,0,0,19,561721.5235,5264400.74,5.781755375
220,1.5,1810,18483,8,3,0,0,61,546611.5884,5290002.04,5.716003344
221,1.75,1670,9500,7,3,0,0,39,551743.3286,5286010.851,5.511883361
222,2.5,1613,4338,7,3,0,0,6,563249.0828,5248389.635,5.446381812
223,2.5,1270,2509,8,3,0,0,11,547791.5141,5264892.675,5.53529412
224,1.75,2040,8996,7,4,0,2,53,566315.1356,5270886.652,5.749543081
225,3.5,3170,3858,8,3,0,0,7,563633.7285,5261620.297,5.694605199
226,1,1060,4650,7,3,0,0,65,545647.077,5269621.362,5.653212514
227,2.25,2560,8040,8,3,0,0,57,552281.2629,5284570.737,5.752048448
228,1.5,1960,4080,7,3,0,0,100,551791.4429,5280609.482,5.806179974
229,2,1960,4520,8,3,0,0,93,544743.3033,5269792.193,5.872156273
230,1,1280,7572,6,4,0,0,57,562118.0419,5255401.997,5.243038049
231,2.5,2160,5298,9,4,0,0,113,551856.9209,5273252.134,5.92556991
232,2.5,2310,5573,9,4,0,0,12,560228.0329,5263229.229,5.720159303
233,1.75,1850,6869,6,5,0,2,96,548006.6282,5257014.399,5.662710623
234,3.75,3090,4943,10,3,0,0,5,565346.8562,5256581.92,5.741151599
235,3.75,4220,9240,11,5,0,2,24,557967.7449,5270964.467,6.197280558
236,3.25,4386,12275,10,3,0,0,9,560441.5029,5242469.439,5.736396502
237,2,2210,8556,8,4,0,1,61,545359.6852,5277554.839,5.899904728
238,1.75,1840,7300,8,3,0,0,49,547691.9086,5240051.756,5.423245874
239,1,980,1600,8,3,0,0,5,546947.3266,5276255.908,5.650307523
240,1.75,1800,5102,7,3,0,0,63,544532.2407,5277726.284,5.8162413
241,1.75,1900,9375,8,4,0,1,74,554563.1253,5281223.91,6.018076064
242,1.5,2010,7561,7,4,0,0,94,558425.7533,5240015.061,5.389166084
243,2.5,2370,6752,8,3,0,0,21,552041.1246,5235431.802,5.491361694
244,2,1580,7400,7,3,0,0,38,562906.6355,5280129.975,5.681241237
245,1.75,1800,7210,7,3,0,0,39,562230.9506,5287136.382,5.703291378
246,2.25,1790,11393,8,3,0,0,37,567689.8534,5275537.478,5.692846919
247,1,1330,5000,7,3,0,0,58,551897.5794,5285534.289,5.612783857
248,1,1120,11800,7,3,0,0,65,550372.817,5262313.577,5.491291641
249,2,2940,5500,9,4,0,0,106,550995.1887,5277245.804,5.977723605
250,1,1640,12060,7,4,0,0,55,563948.0648,5260423.322,5.492760389
251,2,1910,13505,8,3,0,0,60,557757.9945,5284511.459,5.615371308
252,2.5,1410,2500,7,3,0,0,9,548339.0143,5262396.447,5.423245874
253,1,1000,4179,5,5,0,0,101,558441.1814,5238459.22,5.278524965
254,2,1410,2700,7,4,0,0,113,552465.8576,5272401.755,5.716003344
255,1.75,2100,15480,7,3,0,0,32,555119.4403,5237915.971,5.475671188
256,1,950,3060,6,3,0,0,90,550822.4627,5279822.903,5.69019608
257,2.25,2720,8800,7,4,0,0,57,566303.0078,5271953.565,5.72427587
258,1,1510,11165,7,4,0,0,94,550172.5713,5285530.244,5.739572344
259,1,1010,6300,7,3,0,0,58,548589.0969,5286539.338,5.477121255
260,1,990,8528,6,3,0,0,49,547545.7681,5239428.196,5.323231468
261,2.75,2580,11900,7,4,0,0,48,563401.5187,5255237.9,5.553883027
262,1,1660,7500,7,4,0,0,75,552058.1292,5284357.552,5.660865478
263,1.5,1250,7194,7,4,0,0,46,557662.6763,5286555.68,5.553883027
264,1,970,5500,7,3,0,0,59,553340.2964,5267196.931,5.322219295
265,2.75,3410,7750,8,5,0,4,57,544675.0791,5268880.293,6.041392685
266,2,1360,6685,7,3,0,0,63,550682.6973,5287235.243,5.462397998
267,3.25,3800,19798,10,3,0,0,46,560924.4228,5268649.354,6.379305518
268,1,690,6825,5,4,0,0,98,558577.0293,5240005.449,5.153814864
269,2.5,2000,8057,8,3,0,0,17,567417.4569,5246935.496,5.55448916
270,2,1140,8282,6,3,0,0,91,559276.8968,5282692.773,5.697229343
271,1.5,1270,1413,8,3,0,0,8,551244.3722,5283061,5.643452676
272,2.5,1790,2700,8,3,0,0,5,568225.9733,5268241.047,5.707485012
273,1,1190,6250,7,3,0,0,61,553255.1308,5268285.383,5.397940009
274,1.75,1830,7986,7,4,0,0,53,548934.3006,5263246.088,5.549003262
275,1,1500,4500,7,3,0,0,77,546152.6971,5281729.04,5.761927838
276,1,620,2475,6,5,0,0,104,547222.9899,5279314.645,5.604226053
277,2.25,1620,8701,7,3,0,0,53,564862.9767,5272993.304,5.672051654
278,2,2450,4400,7,3,0,0,102,550549.5869,5276663.956,5.903089987
279,1,1530,15975,7,3,0,0,63,550783.7028,5258349.299,5.445604203
280,2.5,2200,1970,9,3,0,0,7,550548.4293,5276797.322,6.021189299
281,2.25,2640,8800,8,3,0,0,35,563855.2338,5289443.779,5.729974286
282,3.5,2950,3737,10,3,0,0,3,569698.5125,5264623.781,5.916848582
283,1,920,8282,6,3,0,0,71,558902.1853,5290036.046,5.491361694
284,2.5,1070,1089,7,3,0,0,6,546087.9233,5270936.327,5.587654851
285,2.5,3200,18750,9,2,0,0,48,566185.3033,5269073.42,5.763427994
286,2,2680,13680,7,4,0,2,72,560866.1352,5259790.27,5.602059991
287,1,1010,7200,6,3,0,0,68,550602.3933,5287845.859,5.462397998
288,2,1670,9987,7,3,0,0,48,554087.3091,5243263.418,5.311117843
289,2.5,3430,7508,10,3,0,0,17,566790.846,5281851.685,5.910090546
290,1.75,1970,7100,7,3,0,0,39,562080.1654,5287212.574,5.610660163
291,1.75,2260,9703,8,2,0,0,37,564194.1785,5279110.329,5.661812686
292,2.75,4280,12668,9,3,0,0,68,558687.1459,5274194.965,6.278753601
293,1.5,2220,12385,8,3,0,0,37,561177.8711,5280322.724,5.658964843
294,1.5,1470,5100,7,3,0,0,69,546462.1098,5280575.584,5.741151599
295,1,1020,5950,6,3,0,0,65,548386.3403,5265775.606,5.58546073
296,1,1100,4373,6,2,0,0,68,549890.2387,5257085.705,5.397940009
297,2.25,2180,10754,7,5,0,0,61,549375.395,5291069.71,5.72427587
298,1,770,8612,6,3,0,0,62,550739.9801,5289258.649,5.42975228
299,2.5,2080,4080,7,5,0,0,53,553399.2658,5268975.804,5.740362689
300,1,2070,7519,7,3,0,0,52,566184.4106,5275775.83,5.699837726
301,2,2080,3880,7,5,0,0,61,545703.5641,5281581.002,5.84509804
302,1,760,7114,6,3,0,0,69,548616.9026,5283216.263,5.633468456
303,1.5,1840,4337,8,4,0,0,98,552061.9283,5275543.581,5.907948522
304,1,1770,12458,7,3,0,0,58,554694.6051,5291161.915,5.532117116
305,2,1200,7320,7,3,0,0,60,553570.5479,5283048.631,5.662757832
306,1.75,1100,7373,7,4,0,0,47,561749.7624,5240204.566,5.380211242
307,1.75,2344,4800,7,4,0,0,94,549936.977,5278025.773,5.898176483
308,1.75,1470,13068,7,4,0,0,40,560694.8382,5239882.401,5.424804894
309,3,2270,7245,7,3,0,0,36,551322.3469,5291208.884,5.638489257
310,1.5,1540,7200,7,3,0,0,47,560355.2649,5287238.842,5.644438589
311,1.75,1740,5400,7,4,0,0,69,553872.2067,5282884.696,5.655138435
312,2.5,2026,7611,8,3,0,0,5,563264.1544,5246989.362,5.553883027
313,2.5,2020,7512,8,4,0,0,34,559579.5372,5282451.336,5.871572936
314,1,1400,8451,7,3,0,0,62,549674.3308,5291161.183,5.541735213
315,2,1830,6925,8,4,0,0,36,566119.2378,5254934.474,5.509202522
316,2,960,9380,6,3,0,0,66,549494.7349,5259294.095,5.322219295
317,3,2900,10400,8,5,0,3,56,566619.1816,5270601.123,5.968482949
318,3,2800,9569,7,3,0,2,52,561518.9741,5262186.763,5.544068044
319,2.5,2420,5118,7,5,0,2,89,546785.1535,5268374.445,5.776701184
320,2.5,1640,1953,10,3,0,0,1,553257.0567,5268074.223,5.825426118
321,1.75,1900,8910,7,4,0,0,27,564665.0931,5236290.216,5.361633414
322,1.75,1280,10016,7,4,0,0,40,550441.2603,5236751.578,5.33243846
323,2.5,1880,14350,7,5,0,0,60,548565.6517,5289340.07,5.716420734
324,2.5,2920,14210,10,4,0,0,37,563870.6812,5274371.732,5.900367129
325,3.25,2920,6960,9,3,0,1,62,554649.5583,5280013.202,6.187520721
326,2.5,2210,7557,9,3,0,0,26,545881.6801,5239559.483,5.51851394
327,2.25,1780,9720,8,3,0,0,34,563593.0604,5258429.906,5.465382851
328,1.5,1280,4720,7,4,0,0,74,546874.8181,5266574.634,5.667452953
329,2.5,2650,7200,8,3,0,0,36,548437.9257,5286682.567,5.748149249
330,2.25,1640,7200,8,4,0,0,30,563675.3506,5271613.065,5.544068044
331,3.5,3350,3752,9,3,0,0,8,547661.8806,5280729.782,6.004321374
332,2.75,2830,5310,9,3,0,0,9,567439.4255,5284171.167,5.860338007
333,2.5,1950,3000,7,3,0,0,14,549938.5869,5260253.697,5.498310554
334,2.5,3320,11901,9,5,0,0,38,563198.1854,5267072.975,5.930745328
335,2,2720,8819,8,3,0,3,39,550388.291,5242941.62,5.748188027
336,1.75,1820,6600,7,5,0,0,55,565014.6586,5272872.728,5.720159303
337,2.25,3780,5160,9,4,0,0,108,551990.4726,5275131.7,6.146128036
338,1,1780,7470,7,3,0,0,55,549921.0446,5262309.704,5.36078269
339,2.25,1870,9680,7,4,0,0,56,557453.2277,5284986.382,5.511883361
340,1.75,1800,8000,8,3,0,0,43,566179.7385,5276187.038,5.822821645
341,2.5,3370,10602,10,3,0,0,16,564047.8094,5278764.146,6.054995862
342,2.5,3050,8000,9,3,0,0,8,557644.2391,5288411.714,5.86923172
343,3.75,2260,2050,9,3,0,0,5,553405.3651,5268308.984,5.725911632
344,2,2330,6346,6,3,0,0,81,546682.2768,5262416.334,5.62324929
345,2,2240,7085,7,3,0,0,71,552112.7916,5286625.473,5.596597096
346,1,770,11084,6,4,0,0,68,550896.2136,5288537.551,5.409933123
347,2.25,1800,8623,8,4,0,0,35,561231.1649,5282390.692,5.717670503
348,2,1550,4815,7,3,0,0,106,549849.2215,5279503.272,5.787460475
349,3,3540,10202,8,3,0,0,27,563582.7082,5266310.218,6.011781831
350,1.75,3700,9140,8,3,0,0,58,555873.3042,5261952.287,5.618048097
351,1,1140,15120,6,4,0,0,83,560606.8841,5255719.619,5.298853076
352,1.75,1800,4180,8,4,0,3,94,551220.8889,5277203.326,5.937016107
353,1,1010,8848,7,4,0,0,47,553020.5605,5235873.968,5.361538971
354,1.5,1270,1318,7,3,0,0,11,546258.3952,5277873.118,5.586587305
